scenario,case_id,confidence,correct,data_classification
matched_confidence,A001,0.90,1,synthetic_demo
matched_confidence,A002,0.90,1,synthetic_demo
matched_confidence,A003,0.90,1,synthetic_demo
matched_confidence,A004,0.90,1,synthetic_demo
matched_confidence,A005,0.90,1,synthetic_demo
matched_confidence,A006,0.90,1,synthetic_demo
matched_confidence,A007,0.90,1,synthetic_demo
matched_confidence,A008,0.90,1,synthetic_demo
matched_confidence,A009,0.90,1,synthetic_demo
matched_confidence,A010,0.90,0,synthetic_demo
matched_confidence,A011,0.60,1,synthetic_demo
matched_confidence,A012,0.60,1,synthetic_demo
matched_confidence,A013,0.60,1,synthetic_demo
matched_confidence,A014,0.60,1,synthetic_demo
matched_confidence,A015,0.60,1,synthetic_demo
matched_confidence,A016,0.60,1,synthetic_demo
matched_confidence,A017,0.60,0,synthetic_demo
matched_confidence,A018,0.60,0,synthetic_demo
matched_confidence,A019,0.60,0,synthetic_demo
matched_confidence,A020,0.60,0,synthetic_demo
overconfident,B001,0.95,1,synthetic_demo
overconfident,B002,0.95,1,synthetic_demo
overconfident,B003,0.95,1,synthetic_demo
overconfident,B004,0.95,1,synthetic_demo
overconfident,B005,0.95,1,synthetic_demo
overconfident,B006,0.95,1,synthetic_demo
overconfident,B007,0.95,1,synthetic_demo
overconfident,B008,0.95,1,synthetic_demo
overconfident,B009,0.95,1,synthetic_demo
overconfident,B010,0.95,0,synthetic_demo
overconfident,B011,0.95,1,synthetic_demo
overconfident,B012,0.95,1,synthetic_demo
overconfident,B013,0.95,1,synthetic_demo
overconfident,B014,0.95,1,synthetic_demo
overconfident,B015,0.95,1,synthetic_demo
overconfident,B016,0.95,1,synthetic_demo
overconfident,B017,0.95,0,synthetic_demo
overconfident,B018,0.95,0,synthetic_demo
overconfident,B019,0.95,0,synthetic_demo
overconfident,B020,0.95,0,synthetic_demo
